game_id,slot,team_id,team_name,score,tossup_points,bonus_points,tossups_correct,tossups_incorrect,tossups_no_penalty,bonuses_correct,bonuses_incorrect,bonuses_unheard
1,1,1,Amador Valley A,112,12,100,10,7,6,10,0,13
1,2,2,Mission San Jose B,134,44,90,12,1,10,9,3,11
2,1,3,Lynbrook A,90,20,70,10,5,8,7,3,13
2,2,4,Archbishop Mitty A,142,52,90,13,0,10,9,4,10
3,1,5,BASIS Silicon Valley A,138,48,90,14,2,7,9,5,9
3,2,6,Foothill A,30,0,30,5,5,13,3,2,18
4,1,7,Clovis North,84,24,60,8,2,13,6,2,15
4,2,8,Dougherty Valley A,92,32,60,10,2,11,6,4,13
5,1,9,Davidson A,128,28,100,13,6,4,10,3,10
5,2,10,Davidson B,44,24,20,8,2,13,2,5,16
6,1,11,GSB A,98,28,70,9,2,12,7,2,14
6,2,12,Saratoga,66,16,50,9,5,9,5,4,14
7,1,13,Irvington A,40,0,40,5,5,13,4,1,18
7,2,14,Palo Alto,132,32,100,12,4,7,10,2,11
8,1,15,Mission San Jose A,176,36,140,15,6,2,14,1,8
8,2,16,Mira Loma A,46,16,30,5,1,17,3,2,18
9,1,13,Irvington A,18,8,10,5,3,15,1,4,18
9,2,1,Amador Valley A,150,40,110,14,4,5,11,3,9
10,1,4,Archbishop Mitty A,26,-4,30,4,5,14,3,1,19
10,2,15,Mission San Jose A,144,44,100,14,3,6,10,4,9
11,1,5,BASIS Silicon Valley A,144,44,100,12,1,10,10,2,11
11,2,11,GSB A,42,12,30,6,3,14,3,3,17
12,1,7,Clovis North,114,44,70,11,0,12,7,4,12
12,2,10,Davidson B,78,28,50,7,0,16,5,2,16
13,1,9,Davidson A,126,36,90,12,3,8,9,3,11
13,2,8,Dougherty Valley A,92,32,60,10,2,11,6,4,13
14,1,6,Foothill A,108,28,80,9,2,12,8,1,14
14,2,12,Saratoga,94,44,50,12,1,10,5,7,11
15,1,3,Lynbrook A,116,36,80,12,3,8,8,4,11
15,2,16,Mira Loma A,50,20,30,6,1,16,3,3,17
16,1,14,Palo Alto,102,32,70,10,2,11,7,3,13
16,2,2,Mission San Jose B,98,28,70,9,2,12,7,1,15
17,1,8,Dougherty Valley A,28,8,20,6,4,13,2,4,17
17,2,1,Amador Valley A,144,44,100,15,4,4,10,5,8
18,1,6,Foothill A,68,28,40,7,0,16,4,3,16
18,2,4,Archbishop Mitty A,62,12,50,9,6,8,5,4,14
19,1,7,Clovis North,70,40,30,10,0,13,3,6,14
19,2,2,Mission San Jose B,78,8,70,8,6,9,7,1,15
20,1,11,GSB A,24,4,20,3,2,18,2,1,20
20,2,3,Lynbrook A,182,52,130,16,3,4,13,3,7
21,1,1,Amador Valley A,92,32,60,12,4,7,6,6,11
21,2,6,Foothill A,8,-12,20,4,7,12,2,2,19
22,1,14,Palo Alto,46,16,30,7,3,13,3,4,16
22,2,5,BASIS Silicon Valley A,70,20,50,6,1,16,5,1,17
23,1,15,Mission San Jose A,66,16,50,9,5,9,5,4,14
23,2,9,Davidson A,100,40,60,12,2,9,6,6,11
24,1,3,Lynbrook A,60,20,40,9,4,10,4,5,14
24,2,2,Mission San Jose B,74,24,50,7,1,15,5,2,16
25,1,14,Palo Alto,96,36,60,10,1,12,6,4,13
25,2,1,Amador Valley A,60,20,40,8,3,12,4,4,15
26,1,2,Mission San Jose B,42,12,30,5,2,16,3,2,18
26,2,15,Mission San Jose A,112,32,80,12,4,7,8,4,11
27,1,9,Davidson A,110,40,70,13,3,7,7,6,10
27,2,5,BASIS Silicon Valley A,30,20,10,6,1,16,1,5,17
28,1,15,Mission San Jose A,130,40,90,14,4,5,9,5,9
28,2,14,Palo Alto,12,12,0,6,3,14,0,6,17
29,1,5,BASIS Silicon Valley A,16,-4,20,4,5,14,2,2,19
29,2,15,Mission San Jose A,94,24,70,12,6,5,7,5,11
30,1,9,Davidson A,36,16,20,5,1,17,2,3,18
30,2,15,Mission San Jose A,118,48,70,14,2,7,7,7,9
31,1,17,Folsom City,184,64,120,17,1,5,12,5,6
31,2,18,Albany A,40,20,20,5,0,18,2,3,18
32,1,19,Cupertino A,140,60,80,15,0,8,8,7,8
32,2,20,Albany B,18,8,10,2,0,21,1,1,21
33,1,21,BASIS Fremont,18,8,10,4,2,17,1,3,19
33,2,1,Amador Valley A,226,56,170,18,4,1,17,1,5
34,1,22,Amador Valley B,56,16,40,4,0,19,4,0,19
34,2,5,BASIS Silicon Valley A,242,72,170,19,1,3,17,2,4
35,1,4,Archbishop Mitty A,224,64,160,18,2,3,16,2,5
35,2,23,American A,18,8,10,2,0,21,1,1,21
36,1,24,BASIS Silicon Valley B,170,60,110,17,2,4,11,6,6
36,2,25,American B,18,8,10,2,0,21,1,1,21
37,1,26,Archbishop Mitty B,126,36,90,10,1,12,9,1,13
37,2,27,Irvington B,66,36,30,9,0,14,3,6,14
38,1,28,GSB B,98,28,70,7,0,16,7,0,16
38,2,29,California,116,36,80,11,2,10,8,3,12
39,1,30,Chico A,62,32,30,9,1,13,3,6,14
39,2,31,Mountain House B,78,28,50,8,1,14,5,3,15
40,1,32,Chico B,0,0,0,1,1,21,0,1,22
40,2,8,Dougherty Valley A,222,72,150,20,2,1,15,5,3
41,1,7,Clovis North,158,48,110,15,3,5,11,4,8
41,2,33,Quarry Lane A,14,4,10,2,1,20,1,0,22
42,1,34,Stanford Online,116,36,80,12,3,8,8,4,11
42,2,35,Cupertino B,72,32,40,9,1,13,4,5,14
43,1,36,Homestead,88,28,60,7,0,16,6,1,16
43,2,9,Davidson A,158,48,110,15,3,5,11,4,8
44,1,10,Davidson B,178,48,130,13,1,9,13,0,10
44,2,37,Mountain House A,50,20,30,6,1,16,3,3,17
45,1,38,Dougherty Valley B,102,32,70,10,2,11,7,3,13
45,2,3,Lynbrook A,150,40,110,12,2,9,11,0,12
46,1,39,El Camino A,36,16,20,6,2,15,2,3,18
46,2,16,Mira Loma A,192,52,140,15,2,6,14,1,8
47,1,6,Foothill A,144,44,100,14,3,6,10,4,9
47,2,40,El Camino B,30,20,10,6,1,16,1,5,17
48,1,41,Evergreen Valley,12,12,0,3,0,20,0,3,20
48,2,11,GSB A,204,64,140,17,1,5,14,3,6
49,1,42,Foothill B,104,44,60,12,1,10,6,5,12
49,2,43,Los Gatos,44,24,20,6,0,17,2,4,17
50,1,13,Irvington A,74,24,50,6,0,17,5,1,17
50,2,15,Mission San Jose A,190,40,150,15,5,3,15,0,8
51,1,44,Miller,92,32,60,8,0,15,6,0,17
51,2,45,Lynbrook B,186,56,130,15,1,7,13,0,10
52,1,46,Mira Loma B,42,12,30,3,0,20,3,0,20
52,2,14,Palo Alto,228,68,160,18,1,4,16,2,5
53,1,12,Saratoga,136,36,100,11,2,10,10,1,12
53,2,2,Mission San Jose B,124,24,100,11,5,7,10,1,12
54,1,47,San Mateo,4,4,0,1,0,22,0,1,22
54,2,48,Quarry Lane B,110,60,50,15,0,8,5,10,8
55,1,5,BASIS Silicon Valley A,228,68,160,18,1,4,16,2,5
55,2,43,Los Gatos,0,0,0,2,2,19,0,2,21
56,1,12,Saratoga,196,56,140,17,3,3,14,3,6
56,2,18,Albany A,42,12,30,3,0,20,3,0,20
57,1,20,Albany B,4,4,0,1,0,22,0,1,22
57,2,36,Homestead,128,48,80,14,2,7,8,6,9
58,1,1,Amador Valley A,130,20,110,13,8,2,11,2,10
58,2,34,Stanford Online,62,12,50,7,4,12,5,2,16
59,1,22,Amador Valley B,48,28,20,7,0,16,2,5,16
59,2,16,Mira Loma A,134,44,90,13,2,8,9,4,10
60,1,23,American A,60,20,40,9,4,10,4,5,14
60,2,31,Mountain House B,72,32,40,9,1,13,4,5,14
61,1,25,American B,14,4,10,3,2,18,1,2,20
61,2,33,Quarry Lane A,74,44,30,12,1,10,3,9,11
62,1,4,Archbishop Mitty A,118,28,90,10,3,10,9,1,13
62,2,3,Lynbrook A,140,40,100,13,3,7,10,3,10
63,1,26,Archbishop Mitty B,138,48,90,13,1,9,9,4,10
63,2,32,Chico B,14,4,10,3,2,18,1,2,20
64,1,21,BASIS Fremont,98,28,70,9,2,12,7,2,14
64,2,37,Mountain House A,50,20,30,7,2,14,3,4,16
65,1,11,GSB A,170,60,110,16,1,6,11,5,7
65,2,24,BASIS Silicon Valley B,62,12,50,6,3,14,5,1,17
66,1,29,California,14,4,10,3,2,18,1,2,20
66,2,15,Mission San Jose A,188,48,140,15,3,5,14,1,8
67,1,30,Chico A,8,8,0,2,0,21,0,0,23
67,2,38,Dougherty Valley B,150,60,90,15,0,8,9,1,13
68,1,7,Clovis North,198,68,130,17,0,6,13,4,6
68,2,41,Evergreen Valley,14,4,10,2,1,20,1,1,21
69,1,19,Cupertino A,92,32,60,9,1,13,6,3,14
69,2,6,Foothill A,136,36,100,13,4,6,10,3,10
70,1,35,Cupertino B,56,16,40,4,0,19,4,0,19
70,2,10,Davidson B,178,68,110,17,0,6,11,6,6
71,1,9,Davidson A,232,72,160,20,2,1,16,4,3
71,2,40,El Camino B,14,4,10,1,0,22,1,0,22
72,1,8,Dougherty Valley A,130,40,90,10,0,13,9,1,13
72,2,14,Palo Alto,162,52,110,13,0,10,11,2,10
73,1,42,Foothill B,36,16,20,6,2,15,2,3,18
73,2,39,El Camino A,96,36,60,9,0,14,6,3,14
74,1,47,San Mateo,0,0,0,1,1,21,0,1,22
74,2,17,Folsom City,206,76,130,19,0,4,13,6,4
75,1,28,GSB B,68,28,40,7,0,16,4,3,16
75,2,44,Miller,126,56,70,14,0,9,7,7,9
76,1,13,Irvington A,132,32,100,11,3,9,10,0,13
76,2,45,Lynbrook B,70,20,50,9,4,10,5,0,18
77,1,27,Irvington B,30,20,10,6,1,16,1,5,17
77,2,46,Mira Loma B,112,52,60,13,0,10,6,7,10
78,1,48,Quarry Lane B,14,4,10,4,3,16,1,3,19
78,2,2,Mission San Jose B,182,52,130,18,5,0,13,5,5
79,1,47,San Mateo,42,12,30,3,0,20,3,0,20
79,2,18,Albany A,48,28,20,7,0,16,2,5,16
80,1,20,Albany B,8,8,0,2,0,21,0,2,21
80,2,6,Foothill A,180,60,120,18,3,2,12,6,5
81,1,1,Amador Valley A,178,48,130,17,5,1,13,4,6
81,2,37,Mountain House A,42,12,30,3,0,20,3,0,20
82,1,22,Amador Valley B,28,8,20,6,4,13,2,4,17
82,2,43,Los Gatos,38,28,10,7,0,16,1,6,16
83,1,23,American A,-8,-8,0,0,2,21,0,0,23
83,2,3,Lynbrook A,268,88,180,22,0,1,18,4,1
84,1,25,American B,32,12,20,3,0,20,2,1,20
84,2,11,GSB A,110,20,90,11,6,6,9,2,12
85,1,4,Archbishop Mitty A,166,56,110,17,3,3,11,5,7
85,2,30,Chico A,8,8,0,2,0,21,0,1,22
86,1,26,Archbishop Mitty B,54,24,30,7,1,15,3,4,16
86,2,46,Mira Loma B,108,48,60,12,0,11,6,6,11
87,1,21,BASIS Fremont,38,28,10,8,1,14,1,7,15
87,2,35,Cupertino B,48,28,20,8,1,14,2,6,15
88,1,39,El Camino A,26,16,10,4,0,19,1,3,19
88,2,5,BASIS Silicon Valley A,206,56,150,17,3,3,15,2,6
89,1,24,BASIS Silicon Valley B,80,20,60,7,2,14,6,1,16
89,2,7,Clovis North,140,40,100,13,3,7,10,3,10
90,1,29,California,24,4,20,3,2,18,2,0,21
90,2,44,Miller,190,60,130,16,1,6,13,0,10
91,1,32,Chico B,10,0,10,2,2,19,1,1,21
91,2,14,Palo Alto,242,72,170,20,2,1,17,3,3
92,1,9,Davidson A,270,80,190,21,1,1,19,2,2
92,2,19,Cupertino A,-8,-8,0,0,2,21,0,0,23
93,1,10,Davidson B,82,32,50,10,2,11,5,5,13
93,2,34,Stanford Online,70,20,50,8,3,12,5,3,15
94,1,8,Dougherty Valley A,176,56,120,15,1,7,12,3,8
94,2,27,Irvington B,30,20,10,5,0,18,1,4,18
95,1,38,Dougherty Valley B,134,44,90,13,2,8,9,4,10
95,2,31,Mountain House B,40,20,20,6,1,16,2,4,17
96,1,40,El Camino B,34,24,10,9,3,11,1,8,14
96,2,36,Homestead,32,12,20,6,3,14,2,4,17
97,1,41,Evergreen Valley,48,28,20,8,1,14,2,6,15
97,2,33,Quarry Lane A,14,4,10,3,2,18,1,2,20
98,1,17,Folsom City,64,24,40,6,0,17,4,2,17
98,2,2,Mission San Jose B,168,48,120,15,3,5,12,3,8
99,1,16,Mira Loma A,86,36,50,13,4,6,5,7,11
99,2,42,Foothill B,22,12,10,4,1,18,1,3,19
100,1,13,Irvington A,144,44,100,14,3,6,10,4,9
100,2,28,GSB B,26,16,10,4,0,19,1,3,19
101,1,15,Mission San Jose A,258,68,190,19,2,2,19,0,4
101,2,45,Lynbrook B,30,0,30,3,3,17,3,0,20
102,1,12,Saratoga,236,76,160,20,1,2,16,4,3
102,2,48,Quarry Lane B,24,4,20,3,2,18,2,1,20
103,1,18,Albany A,18,8,10,2,0,21,1,1,21
103,2,48,Quarry Lane B,76,36,40,10,1,12,4,6,13
104,1,40,El Camino B,76,36,40,10,1,12,4,6,13
104,2,20,Albany B,36,16,20,4,0,19,2,2,19
105,1,10,Davidson B,56,16,40,5,1,17,4,1,18
105,2,1,Amador Valley A,104,24,80,13,7,3,8,5,10
