rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,39,WWPS A,4,44.5,13,1,2,16,13,130,10.0
2,29,MSJ,5,41.2,17,3,0,20,17,150,8.823529411764707
3,5,BASIS Chandler,4,38.0,13,0,3,16,13,100,7.6923076923076925
4,31,North Allegheny,4,36.0,11,0,5,16,11,100,9.090909090909092
5,6,BISV A,5,29.2,12,3,5,20,12,110,9.166666666666666
6,38,Varun Clemens,4,27.5,9,4,3,16,9,90,10.0
7,13,Clovis North,4,26.5,9,0,7,16,9,70,7.777777777777778
8,18,Doral Academy,4,26.5,9,0,7,16,9,70,7.777777777777778
9,27,Lynbrook A,4,24.0,9,0,7,16,9,60,6.666666666666667
10,16,Deap South,5,22.0,10,5,5,20,10,90,9.0
11,22,Iolani A,5,21.6,9,2,9,20,9,80,8.88888888888889
12,25,Lexington B,5,21.2,11,2,7,20,11,70,6.363636363636363
13,37,Thomas Jefferson,4,21.0,8,2,6,16,8,60,7.5
14,24,Lexington A,4,19.5,7,5,4,16,7,70,10.0
15,14,Collierville A,5,19.2,11,2,7,20,11,60,5.454545454545454
16,19,Eastlake,4,18.5,7,1,8,16,7,50,7.142857142857143
17,32,North Hollywood A,5,15.6,8,1,11,20,8,50,6.25
18,40,WWPS B,5,15.6,7,0,13,20,7,50,7.142857142857143
19,4,Arcadia B,4,13.5,6,0,10,16,6,30,5.0
20,28,Lynbrook B,4,13.5,6,0,10,16,6,30,5.0
21,26,Luka Fan Club,4,13.0,7,4,5,16,7,40,5.714285714285714
22,2,American Heritage Broward,5,12.8,7,1,12,20,7,40,5.714285714285714
23,1,Allen School,4,12.0,8,1,7,16,8,20,2.5
24,33,North Hollywood B,5,11.6,7,0,13,20,7,30,4.285714285714286
25,17,Deep Run,4,11.5,5,1,10,16,5,30,6.0
26,21,Hunter,5,10.8,6,0,14,20,6,30,5.0
27,36,Quail Valley,4,10.5,4,1,11,16,4,30,7.5
28,41,Ward Melville,5,10.0,10,0,10,20,10,10,1.0
29,3,Arcadia A,4,9.0,5,1,10,16,5,20,4.0
30,10,Canyon Crest A,4,9.0,5,1,10,16,5,20,4.0
31,30,Morgantown,4,7.0,3,1,12,16,3,20,6.666666666666667
32,42,Whitney Young,4,6.5,4,0,12,16,4,10,2.5
33,8,Benjamin Franklin,5,6.0,5,0,15,20,5,10,2.0
34,9,Bridgeland,5,6.0,5,0,15,20,5,10,2.0
35,12,Clements,4,6.0,3,2,11,16,3,20,6.666666666666667
36,35,Punahou School,5,5.6,4,2,14,20,4,20,5.0
37,11,Canyon Crest B,4,5.5,3,0,13,16,3,10,3.3333333333333335
38,43,Woodlands,5,5.2,4,0,16,20,4,10,2.5
39,20,Enloe,4,4.5,4,2,10,16,4,10,2.5
40,15,Collierville B,5,4.4,4,1,15,20,4,10,2.5
41,7,BISV B,4,3.0,3,0,13,16,3,0,0.0
42,34,Palo Alto,4,3.0,4,1,11,16,4,0,0.0
43,23,Iolani B,5,1.2,2,3,15,20,2,10,5.0
