rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,13,Montgomery Blair A,5,30.0,15,0,5,20,15,90,6.0
2,16,poolesville village idiots,4,26.0,12,1,3,16,12,60,5.0
3,11,Kiruna Scholars,6,21.333333333333332,14,2,8,24,14,80,5.714285714285714
4,15,Richard Montgomery,5,20.0,10,0,10,20,10,60,6.0
5,8,WWPN A,5,16.8,12,1,7,20,12,40,3.3333333333333335
6,10,Gargy Bomy,3,14.0,6,3,3,12,6,30,5.0
7,3,North Allegheny,3,12.0,4,0,8,12,4,20,5.0
8,2,Eagles A,6,10.333333333333334,8,0,16,24,8,30,3.75
9,9,Shallow Walk team A,4,10.0,6,1,9,16,6,20,3.3333333333333335
10,7,Eagles C,2,7.0,1,0,7,8,1,10,10.0
11,4,Basis,3,2.6666666666666665,2,0,10,12,2,0,0.0
12,5,South Jersey,5,2.4,4,1,15,20,4,0,0.0
13,1,Centreville HS Team 1,2,2.0,1,0,7,8,1,0,0.0
14,6,Eagles B,2,2.0,1,0,6,7,1,0,0.0
15,12,Montgomery Blair B,3,1.3333333333333333,2,1,8,11,2,0,0.0
16,14,WCHS A,2,-2.0,1,2,5,8,1,0,0.0
