rank,team_id,name,wins,losses,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,14,Montgomery Blair A,8,0,200.5,143,7,34,184,143,1060,7.4125874125874125
2,2,Eagles A,8,1,154.0,128,14,62,204,128,930,7.265625
3,6,South Jersey,8,2,135.6,123,24,83,230,123,960,7.804878048780488
4,12,Kiruna Scholars,8,2,134.4,130,19,80,229,130,900,6.923076923076923
5,9,WWPN A,8,2,132.4,133,22,72,227,133,880,6.616541353383458
6,3,Richard Montgomery,7,3,124.2,123,10,95,228,123,790,6.4227642276422765
7,4,North Allegheny,6,2,120.5,92,16,76,184,92,660,7.173913043478261
8,10,Shallow Walk team A,6,2,110.0,98,13,72,183,98,540,5.510204081632653
9,16,poolesville village idiots,5,4,112.44444444444444,100,12,94,206,100,660,6.6
10,11,Gargy Bomy,5,3,115.0,93,28,58,179,93,660,7.096774193548387
11,13,Montgomery Blair B,4,4,107.75,89,21,70,180,89,590,6.629213483146067
12,5,Basis,4,4,83.25,68,4,110,182,68,410,6.029411764705882
13,8,Eagles C,3,4,77.42857142857143,57,4,95,156,57,330,5.7894736842105265
14,7,Eagles B,3,4,72.85714285714286,57,12,90,159,57,330,5.7894736842105265
15,1,Centreville HS Team 1,3,4,61.142857142857146,50,3,103,156,50,240,4.8
16,15,WCHS A,3,4,39.142857142857146,44,23,93,160,44,190,4.318181818181818
17,24,The Wilberforce School,2,3,72.0,35,5,74,114,35,240,6.857142857142857
18,18,Centennial A,2,3,68.0,37,7,69,113,37,220,5.945945945945946
19,26,Shallow Stroll Team B,2,3,30.0,27,17,69,113,27,110,4.074074074074074
20,28,WWPN B,1.5,3.5,54.0,35,5,74,114,35,150,4.285714285714286
21,21,Westtown A,1,4,67.2,39,5,71,115,39,200,5.128205128205129
22,29,Thomas S Wootton High School team A,1,4,43.2,31,7,72,110,31,120,3.870967741935484
23,27,Thomas S Wootton High School team B,1,4,40.4,29,1,84,114,29,90,3.103448275862069
24,17,Pilgrimage Homeschool,1,4,25.6,18,1,95,114,18,60,3.3333333333333335
25,23,Poolesville 2,1,4,21.2,19,5,91,115,19,50,2.6315789473684212
26,19,Centennial B,0.5,4.5,27.2,22,3,90,115,22,60,2.727272727272727
27,22,Westtown B,0,5,22.8,16,5,90,111,16,70,4.375
28,30,Thomas S Wootton High School team C,0,5,13.6,12,0,103,115,12,20,1.6666666666666667
29,20,WCHS C,0,5,12.8,11,0,104,115,11,20,1.8181818181818181
30,25,WCHS B,0,5,6.8,8,2,105,115,8,10,1.25
