rank,team_id,name,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,27,WWPN A,41.6,18,1,1,20,18,140,7.777777777777778
2,9,Eagles A,41.2,15,1,3,19,15,150,10.0
3,15,Montgomery Blair A,38.8,16,0,4,20,16,130,8.125
4,5,Kiruna Scholars,32.0,17,2,1,20,17,100,5.882352941176471
5,11,Eagles B,28.8,13,2,5,20,13,100,7.6923076923076925
6,18,Montgomery Blair B,28.8,12,1,7,20,12,100,8.333333333333334
7,8,Richard Montgomery,23.2,10,1,9,20,10,80,8.0
8,13,Gargy Bomy,22.8,13,2,5,20,13,70,5.384615384615385
9,3,Eagles C,22.4,10,2,8,20,10,80,8.0
10,26,South Jersey,22.4,10,2,8,20,10,80,8.0
11,20,The Wilberforce School,20.4,9,1,10,20,9,70,7.777777777777778
12,17,North Allegheny,19.2,11,2,7,20,11,60,5.454545454545454
13,21,poolesville village idiots,17.6,7,0,13,20,7,60,8.571428571428571
14,1,Pilgrimage Homeschool,16.4,8,0,12,20,8,50,6.25
15,16,Shallow Walk team A,14.0,11,1,8,20,11,30,2.727272727272727
16,2,Basis,12.0,5,0,15,20,5,40,8.0
17,7,Centreville HS Team 1,11.6,7,0,12,19,7,30,4.285714285714286
18,23,Shallow Stroll Team B,10.4,5,2,13,20,5,40,8.0
19,29,WCHS A,10.0,6,1,13,20,6,30,5.0
20,28,Thomas S Wootton High School team A,9.2,6,2,12,20,6,30,5.0
21,10,WCHS C,7.2,4,0,16,20,4,20,5.0
22,12,Westtown A,6.4,3,0,17,20,3,20,6.666666666666667
23,25,WWPN B,5.6,4,2,14,20,4,20,5.0
24,14,Westtown B,5.6,2,0,18,20,2,20,10.0
25,6,Centennial B,3.6,3,1,16,20,3,10,3.3333333333333335
26,24,Thomas S Wootton High School team B,3.6,2,0,18,20,2,10,5.0
27,4,Centennial A,2.4,3,0,17,20,3,0,0.0
28,19,Poolesville 2,1.6,2,0,18,20,2,0,0.0
29,30,Thomas S Wootton High School team C,1.6,2,0,18,20,2,0,0.0
30,22,WCHS B,0.0,0,0,20,20,0,0,
