rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,6,Amador Valley A,1,56.0,4,0,0,4,4,40,10.0
2,8,BASIS Silicon Valley A,1,56.0,4,0,0,4,4,40,10.0
3,9,Archbishop Mitty A,1,46.0,4,0,0,4,4,30,7.5
4,36,GSB A,1,42.0,3,0,1,4,3,30,10.0
5,21,Clovis North,1,38.0,3,1,0,4,3,30,10.0
6,20,Dougherty Valley A,1,38.0,3,1,0,4,3,30,10.0
7,37,Foothill B,1,38.0,3,1,0,4,3,30,10.0
8,32,Mira Loma A,1,38.0,3,1,0,4,3,30,10.0
9,40,Mission San Jose A,1,38.0,3,1,0,4,3,30,10.0
10,44,Palo Alto,1,38.0,3,1,0,4,3,30,10.0
11,1,Folsom City,1,36.0,4,0,0,4,4,20,5.0
12,48,Quarry Lane B,1,32.0,3,0,1,4,3,20,6.666666666666667
13,25,Homestead,1,28.0,2,0,2,4,2,20,10.0
14,42,Lynbrook B,1,28.0,3,1,0,4,3,20,6.666666666666667
15,30,Lynbrook A,1,24.0,2,1,1,4,2,20,10.0
16,11,BASIS Silicon Valley B,1,20.0,2,2,0,4,2,20,10.0
17,33,Foothill A,1,20.0,2,2,0,4,2,20,10.0
18,46,Mission San Jose B,1,20.0,2,2,0,4,2,20,10.0
19,3,Cupertino A,1,18.0,2,0,2,4,2,10,5.0
20,18,Mountain House B,1,18.0,2,0,2,4,2,10,5.0
21,23,Stanford Online,1,18.0,2,0,2,4,2,10,5.0
22,12,American B,1,14.0,1,0,3,4,1,10,10.0
23,24,Cupertino B,1,14.0,2,1,1,4,2,10,5.0
24,26,Davidson A,1,14.0,2,1,1,4,2,10,5.0
25,27,Davidson B,1,14.0,1,0,3,4,1,10,10.0
26,29,Dougherty Valley B,1,14.0,1,0,3,4,1,10,10.0
27,31,El Camino A,1,14.0,1,0,3,4,1,10,10.0
28,38,Los Gatos,1,14.0,1,0,3,4,1,10,10.0
29,41,Miller,1,14.0,1,0,3,4,1,10,10.0
30,45,Saratoga,1,14.0,1,0,3,4,1,10,10.0
31,13,Archbishop Mitty B,1,10.0,1,1,2,4,1,10,10.0
32,16,California,1,10.0,1,1,2,4,1,10,10.0
33,17,Chico A,1,4.0,1,0,3,4,1,0,0.0
34,34,El Camino B,1,4.0,1,0,3,4,1,0,0.0
35,35,Evergreen Valley,1,4.0,1,0,3,4,1,0,0.0
36,14,Irvington B,1,4.0,1,0,3,4,1,0,0.0
37,47,San Mateo,1,4.0,1,0,3,4,1,0,0.0
38,2,Albany A,1,0.0,0,0,4,4,0,0,
39,4,Albany B,1,0.0,0,0,4,4,0,0,
40,7,Amador Valley B,1,0.0,0,0,4,4,0,0,
41,10,American A,1,0.0,0,0,4,4,0,0,
42,5,BASIS Fremont,1,0.0,0,0,4,4,0,0,
43,19,Chico B,1,0.0,0,0,4,4,0,0,
44,15,GSB B,1,0.0,0,0,4,4,0,0,
45,39,Irvington A,1,0.0,0,0,4,4,0,0,
46,43,Mira Loma B,1,0.0,0,0,4,4,0,0,
47,28,Mountain House A,1,0.0,1,1,2,4,1,0,0.0
48,22,Quarry Lane A,1,0.0,0,0,4,4,0,0,
