rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,1,Amador Valley A,2,33.0,5,1,0,6,5,50,10.0
2,15,Mission San Jose A,2,33.0,5,1,0,6,5,50,10.0
3,9,Davidson A,2,24.0,4,2,0,6,4,40,10.0
4,5,BASIS Silicon Valley A,2,23.0,4,0,2,6,4,30,7.5
5,7,Clovis North,2,23.0,4,0,2,6,4,30,7.5
6,11,GSB A,2,23.0,4,0,2,6,4,30,7.5
7,8,Dougherty Valley A,2,16.0,3,0,3,6,3,20,6.666666666666667
8,16,Mira Loma A,2,16.0,3,0,3,6,3,20,6.666666666666667
9,4,Archbishop Mitty A,2,14.0,2,0,4,6,2,20,10.0
10,2,Mission San Jose B,1,14.0,1,0,2,3,1,10,10.0
11,6,Foothill A,2,12.0,2,1,3,6,2,20,10.0
12,12,Saratoga,2,9.0,2,0,4,6,2,10,5.0
13,14,Palo Alto,1,6.0,1,2,0,3,1,10,10.0
14,13,Irvington A,2,5.0,2,2,2,6,2,10,5.0
15,3,Lynbrook A,2,5.0,2,2,2,6,2,10,5.0
16,10,Davidson B,2,2.0,1,0,5,6,1,0,0.0
